yearID,AB,H,HR,BA,SLG,OPS,HR_increase,BA_increase,SLG_increase,OPS_increase
1994,345,86,9,0.249,0.394,0.687,0.0,0.0,0.0,0.0
1995,420,107,17,0.255,0.452,0.773,88.889,2.201,14.758,12.653
1996,320,81,8,0.253,0.428,0.735,-52.941,-0.643,-5.362,-4.92
1997,252,69,6,0.274,0.433,0.747,-25.0,8.172,1.031,1.601
2006,255,54,5,0.212,0.333,0.605,0.0,0.0,0.0,0.0
1999,546,183,20,0.335,0.549,0.998,0.0,0.0,0.0,0.0
2000,576,182,25,0.316,0.554,0.972,25.0,-5.726,0.795,-2.6
2001,588,170,31,0.289,0.543,0.941,24.0,-8.5,-2.041,-3.165
2002,572,176,20,0.308,0.521,0.938,-35.484,6.425,-3.97,-0.352
2003,577,173,20,0.3,0.468,0.881,0.0,-2.556,-10.181,-6.083
2004,574,173,30,0.301,0.544,0.976,50.0,0.523,16.16,10.768
2005,588,168,24,0.286,0.474,0.884,-20.0,-5.202,-12.706,-9.409
2006,339,94,8,0.277,0.434,0.866,-66.667,-2.95,-8.612,-1.955
2007,605,171,16,0.283,0.445,0.817,100.0,1.932,2.537,-5.659
2008,609,180,20,0.296,0.471,0.843,25.0,4.572,5.991,3.143
2009,563,165,15,0.293,0.435,0.83,-25.0,-0.844,-7.659,-1.524
2010,573,146,20,0.255,0.435,0.79,33.333,-13.059,-0.141,-4.91
2011,502,127,8,0.253,0.365,0.719,-60.0,-0.711,-16.111,-8.921
2014,556,176,36,0.317,0.581,0.966,0.0,0.0,0.0,0.0
2013,384,97,4,0.253,0.341,0.661,0.0,0.0,0.0,0.0
2014,502,123,14,0.245,0.398,0.693,250.0,-3.002,16.785,4.778
2014,527,152,15,0.288,0.457,0.783,0.0,0.0,0.0,0.0
2005,481,123,8,0.256,0.383,0.712,0.0,0.0,0.0,0.0
2006,251,55,3,0.219,0.319,0.603,-62.5,-14.31,-16.681,-15.268
1999,276,79,14,0.286,0.525,0.892,0.0,0.0,0.0,0.0
2000,350,101,15,0.289,0.477,0.871,7.143,0.817,-9.178,-2.312
2001,296,82,6,0.277,0.399,0.764,-60.0,-4.001,-16.451,-12.357
2014,278,57,10,0.205,0.367,0.623,0.0,0.0,0.0,0.0
1995,242,57,3,0.236,0.318,0.617,0.0,0.0,0.0,0.0
1998,264,60,5,0.227,0.33,0.609,66.667,-3.509,3.571,-1.413
1995,335,93,4,0.278,0.382,0.687,0.0,0.0,0.0,0.0
1997,518,163,10,0.315,0.432,0.827,150.0,13.35,13.176,20.379
1998,557,155,17,0.278,0.427,0.784,70.0,-11.566,-1.189,-5.146
1999,628,191,27,0.304,0.502,0.891,58.824,9.294,17.389,13.668
2000,544,176,25,0.324,0.542,0.971,-7.407,6.375,8.112,8.93
2003,514,133,13,0.259,0.391,0.73,-48.0,-20.021,-27.888,-24.85
2004,519,150,11,0.289,0.407,0.759,-15.385,11.695,3.964,4.056
2006,286,76,12,0.266,0.465,0.77,0.0,0.0,0.0,0.0
1993,362,101,3,0.279,0.373,0.741,0.0,0.0,0.0,0.0
1995,419,113,6,0.27,0.375,0.749,100.0,-3.339,0.476,1.075
1996,380,98,5,0.258,0.382,0.736,-16.667,-4.374,1.835,-1.691
1997,388,98,5,0.253,0.369,0.745,0.0,-2.062,-3.413,1.172
1998,259,71,6,0.274,0.425,0.8,20.0,8.534,15.236,7.414
2000,540,159,6,0.294,0.404,0.773,0.0,7.41,-4.946,-3.402
2001,387,106,4,0.274,0.367,0.688,-33.333,-6.977,-9.11,-10.962
1989,323,75,3,0.232,0.294,0.586,0.0,0.0,0.0,0.0
1999,481,133,10,0.277,0.395,0.726,0.0,0.0,0.0,0.0
1996,229,60,4,0.262,0.38,0.72,0.0,0.0,0.0,0.0
1997,369,94,3,0.255,0.339,0.684,-25.0,-2.773,-10.834,-4.969
1998,233,72,3,0.309,0.429,0.803,0.0,21.304,26.695,17.359
1988,545,145,9,0.266,0.382,0.709,0.0,0.0,0.0,0.0
1989,623,184,7,0.295,0.376,0.727,-22.222,11.009,-1.585,2.505
1990,586,168,6,0.287,0.381,0.723,-14.286,-2.931,1.316,-0.528
1991,637,188,9,0.295,0.436,0.793,50.0,2.945,14.683,9.656
1992,571,177,8,0.31,0.427,0.833,-11.111,5.031,-2.085,5.03
1993,589,192,17,0.326,0.492,0.903,112.5,5.16,15.22,8.437
1994,392,120,8,0.306,0.452,0.84,-52.941,-6.091,-8.293,-6.979
1996,588,193,22,0.328,0.527,0.945,175.0,7.222,16.761,12.517
1997,412,137,14,0.333,0.5,0.896,-36.364,1.308,-5.161,-5.274
1998,588,166,14,0.282,0.418,0.768,0.0,-15.1,-16.327,-14.233
1999,563,182,24,0.323,0.533,0.963,71.429,14.507,27.366,25.414
2000,610,189,19,0.31,0.475,0.856,-20.833,-4.155,-10.781,-11.113
2001,575,193,20,0.336,0.541,0.961,5.263,8.332,13.769,12.252
2002,590,157,11,0.266,0.376,0.708,-45.0,-20.721,-30.432,-26.336
2003,253,64,3,0.253,0.34,0.674,-72.727,-4.937,-9.661,-4.75
1990,445,129,9,0.29,0.418,0.748,0.0,0.0,0.0,0.0
1994,292,84,14,0.288,0.49,0.838,55.556,-0.765,17.166,11.918
1998,409,96,6,0.235,0.352,0.624,-57.143,-18.407,-28.107,-25.489
2000,356,103,7,0.289,0.404,0.732,16.667,23.265,14.888,17.215
2014,267,64,7,0.24,0.397,0.685,0.0,0.0,0.0,0.0
1992,341,96,9,0.282,0.455,0.787,0.0,0.0,0.0,0.0
1993,482,138,18,0.286,0.483,0.828,100.0,1.699,6.349,5.234
1994,422,143,22,0.339,0.592,0.994,22.222,18.356,22.552,19.989
1996,540,152,21,0.281,0.457,0.801,-4.545,-16.933,-22.79,-19.403
1997,538,157,23,0.292,0.493,0.87,9.524,3.673,7.686,8.631
1998,584,182,38,0.312,0.582,0.985,65.217,6.793,18.196,13.201
2000,454,161,30,0.355,0.623,1.047,-21.053,13.792,7.069,6.266
2001,513,170,27,0.331,0.554,0.955,-10.0,-6.554,-11.188,-8.75
2003,565,158,22,0.28,0.462,0.821,-18.519,-15.613,-16.557,-14.031
2005,427,137,19,0.321,0.518,0.921,-13.636,14.732,12.04,12.163
2006,345,104,22,0.301,0.571,0.927,15.789,-6.045,10.327,0.627
2007,328,112,13,0.341,0.524,0.919,-40.909,13.274,-8.165,-0.786
2012,576,167,7,0.29,0.399,0.742,0.0,0.0,0.0,0.0
2013,626,177,5,0.283,0.363,0.682,-28.571,-2.477,-9.187,-8.012
2014,660,225,7,0.341,0.453,0.832,40.0,20.57,24.933,22.009
2011,235,45,4,0.191,0.289,0.561,0.0,0.0,0.0,0.0
2012,525,128,30,0.244,0.467,0.786,650.0,27.323,61.275,39.957
2013,558,130,36,0.233,0.473,0.771,20.0,-4.444,1.382,-1.811
2014,398,92,18,0.231,0.405,0.717,-50.0,-0.781,-14.499,-7.077
1994,228,60,4,0.263,0.377,0.713,0.0,0.0,0.0,0.0
2013,368,87,5,0.236,0.337,0.62,0.0,0.0,0.0,0.0
2014,423,101,5,0.239,0.314,0.604,0.0,0.997,-6.688,-2.663
1992,374,82,7,0.219,0.348,0.652,0.0,0.0,0.0,0.0
2006,334,87,3,0.26,0.332,0.665,0.0,0.0,0.0,0.0
2008,311,82,3,0.264,0.367,0.679,0.0,1.223,10.298,2.122
1989,266,55,4,0.207,0.312,0.636,0.0,0.0,0.0,0.0
1990,234,54,3,0.231,0.308,0.641,-25.0,11.608,-1.39,0.83
1992,623,169,21,0.271,0.449,0.828,600.0,17.549,46.067,29.093
1993,560,147,13,0.262,0.425,0.792,-38.095,-3.232,-5.437,-4.345
1994,453,119,12,0.263,0.419,0.777,-7.692,0.074,-1.312,-1.825
1995,554,145,16,0.262,0.444,0.816,33.333,-0.366,5.869,4.975
1996,579,172,50,0.297,0.637,1.036,212.5,13.499,43.523,27.01
1997,590,170,18,0.288,0.469,0.863,-64.0,-3.006,-26.332,-16.667
1998,479,113,18,0.236,0.42,0.776,0.0,-18.126,-10.622,-10.081
1999,564,159,24,0.282,0.477,0.885,33.333,19.502,13.661,13.969
2001,430,87,8,0.202,0.3,0.611,-66.667,-28.232,-37.1,-30.921
2006,365,82,8,0.225,0.359,0.651,0.0,0.0,0.0,0.0
1984,374,94,3,0.251,0.329,0.664,0.0,0.0,0.0,0.0
1995,374,120,16,0.321,0.505,0.861,0.0,0.0,0.0,0.0
1997,624,189,8,0.303,0.409,0.746,-50.0,-5.601,-19.134,-13.377
1998,622,183,15,0.294,0.455,0.782,87.5,-2.863,11.337,4.846
2004,442,133,14,0.301,0.446,0.791,-6.667,2.275,-2.04,1.199
2008,557,163,15,0.293,0.433,0.761,7.143,-2.747,-2.923,-3.739
